date,window_start,true_label,pred_label,confidence,n_retrieved,method
2008-01-07,2007-10-08,bear,bull,1.0,5,rule_based_temporal_rag
2008-01-14,2007-10-15,bear,bull,1.0,5,rule_based_temporal_rag
2008-01-22,2007-10-22,bull,bull,1.0,5,rule_based_temporal_rag
2008-01-29,2007-10-29,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-05,2007-11-05,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-12,2007-11-12,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-20,2007-11-19,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-27,2007-11-27,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-05,2007-12-04,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-12,2007-12-11,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-19,2007-12-18,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-27,2007-12-26,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-03,2008-01-03,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-10,2008-01-10,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-17,2008-01-17,bull,bull,1.0,5,rule_based_temporal_rag
2008-04-24,2008-01-25,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-01,2008-02-01,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-08,2008-02-08,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-15,2008-02-15,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-22,2008-02-25,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-30,2008-03-03,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-06,2008-03-10,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-13,2008-03-17,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-20,2008-03-25,bear,bull,1.0,5,rule_based_temporal_rag
2008-06-27,2008-04-01,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-07,2008-04-08,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-14,2008-04-15,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-21,2008-04-22,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-28,2008-04-29,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-04,2008-05-06,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-11,2008-05-13,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-18,2008-05-20,bear,bull,0.8,5,rule_based_temporal_rag
2008-08-25,2008-05-28,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-02,2008-06-04,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-09,2008-06-11,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-16,2008-06-18,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-23,2008-06-25,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-30,2008-07-02,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-07,2008-07-10,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-14,2008-07-17,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-21,2008-07-24,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-28,2008-07-31,bear,bull,1.0,5,rule_based_temporal_rag
2008-11-04,2008-08-07,bear,bull,0.8,5,rule_based_temporal_rag
2008-11-11,2008-08-14,bear,bull,0.6,5,rule_based_temporal_rag
2008-11-18,2008-08-21,bear,bull,0.8,5,rule_based_temporal_rag
2008-11-25,2008-08-28,bear,bull,1.0,5,rule_based_temporal_rag
2008-12-03,2008-09-05,bear,bull,1.0,5,rule_based_temporal_rag
2008-12-10,2008-09-12,bear,bull,0.8,5,rule_based_temporal_rag
2008-12-17,2008-09-19,bear,bull,0.6,5,rule_based_temporal_rag
2008-12-24,2008-09-26,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-02,2008-10-03,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-09,2008-10-10,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-16,2008-10-17,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-26,2008-10-24,bear,bull,0.8,5,rule_based_temporal_rag
2009-02-02,2008-10-31,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-09,2008-11-07,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-17,2008-11-14,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-24,2008-11-21,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-03,2008-12-01,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-10,2008-12-08,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-17,2008-12-15,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-24,2008-12-22,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-31,2008-12-30,bear,bull,1.0,5,rule_based_temporal_rag
2009-04-07,2009-01-07,bear,bull,1.0,5,rule_based_temporal_rag
2009-04-15,2009-01-14,bear,bull,1.0,5,rule_based_temporal_rag
2009-04-22,2009-01-22,bear,bull,0.8,5,rule_based_temporal_rag
2009-04-29,2009-01-29,bear,bull,1.0,5,rule_based_temporal_rag
2009-05-06,2009-02-05,bear,bull,1.0,5,rule_based_temporal_rag
2009-05-13,2009-02-12,bear,bull,1.0,5,rule_based_temporal_rag
2009-05-20,2009-02-20,bear,bull,1.0,5,rule_based_temporal_rag
2009-05-28,2009-02-27,bear,bull,1.0,5,rule_based_temporal_rag
2009-06-04,2009-03-06,bear,bull,1.0,5,rule_based_temporal_rag
2009-06-11,2009-03-13,bear,bull,0.8,5,rule_based_temporal_rag
2009-06-18,2009-03-20,bear,bull,1.0,5,rule_based_temporal_rag
2009-06-25,2009-03-27,bear,bull,1.0,5,rule_based_temporal_rag
2009-07-02,2009-04-03,bull,bull,0.8,5,rule_based_temporal_rag
2009-07-10,2009-04-13,bull,bull,1.0,5,rule_based_temporal_rag
2009-07-17,2009-04-20,bull,bull,1.0,5,rule_based_temporal_rag
2009-07-24,2009-04-27,bull,bull,1.0,5,rule_based_temporal_rag
2009-07-31,2009-05-04,bull,bull,1.0,5,rule_based_temporal_rag
2009-08-07,2009-05-11,bull,bull,1.0,5,rule_based_temporal_rag
2009-08-14,2009-05-18,bull,bull,0.6,5,rule_based_temporal_rag
2009-08-21,2009-05-26,bull,bull,1.0,5,rule_based_temporal_rag
2009-08-28,2009-06-02,bull,bull,0.6,5,rule_based_temporal_rag
2009-09-04,2009-06-09,bull,bull,1.0,5,rule_based_temporal_rag
2009-09-14,2009-06-16,bull,bull,0.8,5,rule_based_temporal_rag
2009-09-21,2009-06-23,bull,bull,1.0,5,rule_based_temporal_rag
2009-09-28,2009-06-30,bull,bull,1.0,5,rule_based_temporal_rag
2009-10-05,2009-07-08,bull,bull,0.8,5,rule_based_temporal_rag
2009-10-12,2009-07-15,bull,bull,0.8,5,rule_based_temporal_rag
2009-10-19,2009-07-22,bull,bull,0.8,5,rule_based_temporal_rag
2009-10-26,2009-07-29,bull,bull,0.8,5,rule_based_temporal_rag
2009-11-02,2009-08-05,bull,bull,0.8,5,rule_based_temporal_rag
2009-11-09,2009-08-12,bull,bull,1.0,5,rule_based_temporal_rag
2009-11-16,2009-08-19,bull,bull,1.0,5,rule_based_temporal_rag
2009-11-23,2009-08-26,bull,bull,1.0,5,rule_based_temporal_rag
2009-12-01,2009-09-02,bull,bull,1.0,5,rule_based_temporal_rag
2009-12-08,2009-09-10,bull,bull,0.8,5,rule_based_temporal_rag
2009-12-15,2009-09-17,bull,bull,0.8,5,rule_based_temporal_rag
2009-12-22,2009-09-24,bull,bull,1.0,5,rule_based_temporal_rag
2009-12-30,2009-10-01,bull,bull,0.8,5,rule_based_temporal_rag
2010-01-07,2009-10-08,bull,bull,1.0,5,rule_based_temporal_rag
2010-01-14,2009-10-15,bull,bull,1.0,5,rule_based_temporal_rag
2010-01-22,2009-10-22,bull,bull,1.0,5,rule_based_temporal_rag
2010-01-29,2009-10-29,bull,bull,1.0,5,rule_based_temporal_rag
2010-02-05,2009-11-05,bull,bull,1.0,5,rule_based_temporal_rag
2010-02-12,2009-11-12,bull,bull,0.8,5,rule_based_temporal_rag
2010-02-22,2009-11-19,bull,bull,1.0,5,rule_based_temporal_rag
2010-03-01,2009-11-27,bull,bull,1.0,5,rule_based_temporal_rag
2010-03-08,2009-12-04,bull,bull,1.0,5,rule_based_temporal_rag
2010-03-15,2009-12-11,bull,bull,0.8,5,rule_based_temporal_rag
2010-03-22,2009-12-18,bull,bull,1.0,5,rule_based_temporal_rag
2010-03-29,2009-12-28,bull,bull,0.8,5,rule_based_temporal_rag
2010-04-06,2010-01-05,bull,bull,0.8,5,rule_based_temporal_rag
2010-04-13,2010-01-12,bull,bull,1.0,5,rule_based_temporal_rag
2010-04-20,2010-01-20,bull,bull,1.0,5,rule_based_temporal_rag
2010-04-27,2010-01-27,bull,bull,1.0,5,rule_based_temporal_rag
2010-05-04,2010-02-03,bull,bull,0.8,5,rule_based_temporal_rag
2010-05-11,2010-02-10,bull,bull,1.0,5,rule_based_temporal_rag
2010-05-18,2010-02-18,high_vol,bull,1.0,5,rule_based_temporal_rag
2010-05-25,2010-02-25,high_vol,bull,1.0,5,rule_based_temporal_rag
2010-06-02,2010-03-04,high_vol,bull,0.8,5,rule_based_temporal_rag
2010-06-09,2010-03-11,high_vol,bull,1.0,5,rule_based_temporal_rag
2010-06-16,2010-03-18,bull,bull,1.0,5,rule_based_temporal_rag
2010-06-23,2010-03-25,bull,bull,1.0,5,rule_based_temporal_rag
2010-06-30,2010-04-01,bull,bull,1.0,5,rule_based_temporal_rag
2010-07-08,2010-04-09,bull,bull,1.0,5,rule_based_temporal_rag
2010-07-15,2010-04-16,bull,bull,1.0,5,rule_based_temporal_rag
2010-07-22,2010-04-23,bull,bull,1.0,5,rule_based_temporal_rag
2010-07-29,2010-04-30,bull,bull,1.0,5,rule_based_temporal_rag
2010-08-05,2010-05-07,bull,bull,1.0,5,rule_based_temporal_rag
2010-08-12,2010-05-14,bull,bull,1.0,5,rule_based_temporal_rag
2010-08-19,2010-05-21,bull,bull,1.0,5,rule_based_temporal_rag
2010-08-26,2010-05-28,bull,bull,0.8,5,rule_based_temporal_rag
2010-09-02,2010-06-07,bull,bull,1.0,5,rule_based_temporal_rag
2010-09-10,2010-06-14,bull,bull,1.0,5,rule_based_temporal_rag
2010-09-17,2010-06-21,bull,bull,0.8,5,rule_based_temporal_rag
2010-09-24,2010-06-28,bull,bull,1.0,5,rule_based_temporal_rag
2010-10-01,2010-07-06,bull,bull,0.8,5,rule_based_temporal_rag
2010-10-08,2010-07-13,bull,bull,0.8,5,rule_based_temporal_rag
2010-10-15,2010-07-20,bull,bull,1.0,5,rule_based_temporal_rag
2010-10-22,2010-07-27,bull,bull,1.0,5,rule_based_temporal_rag
2010-10-29,2010-08-03,bull,bull,1.0,5,rule_based_temporal_rag
2010-11-05,2010-08-10,bull,bull,1.0,5,rule_based_temporal_rag
2010-11-12,2010-08-17,bull,bull,1.0,5,rule_based_temporal_rag
2010-11-19,2010-08-24,bull,bull,0.6,5,rule_based_temporal_rag
2010-11-29,2010-08-31,bull,bull,1.0,5,rule_based_temporal_rag
2010-12-06,2010-09-08,bull,bull,0.6,5,rule_based_temporal_rag
2010-12-13,2010-09-15,bull,bull,1.0,5,rule_based_temporal_rag
2010-12-20,2010-09-22,bull,bull,1.0,5,rule_based_temporal_rag
2010-12-28,2010-09-29,bull,bull,1.0,5,rule_based_temporal_rag
2011-01-04,2010-10-06,bull,bull,0.8,5,rule_based_temporal_rag
2011-01-11,2010-10-13,bull,bull,1.0,5,rule_based_temporal_rag
2011-01-19,2010-10-20,bull,bull,1.0,5,rule_based_temporal_rag
2011-01-26,2010-10-27,bull,bull,1.0,5,rule_based_temporal_rag
2011-02-02,2010-11-03,bull,bull,0.6,5,rule_based_temporal_rag
2011-02-09,2010-11-10,bull,bull,0.8,5,rule_based_temporal_rag
2011-02-16,2010-11-17,bull,bull,1.0,5,rule_based_temporal_rag
2011-02-24,2010-11-24,bull,bull,0.8,5,rule_based_temporal_rag
2011-03-03,2010-12-02,bull,bull,1.0,5,rule_based_temporal_rag
2011-03-10,2010-12-09,bull,bull,1.0,5,rule_based_temporal_rag
2011-03-17,2010-12-16,bull,bull,0.8,5,rule_based_temporal_rag
2011-03-24,2010-12-23,bull,bull,1.0,5,rule_based_temporal_rag
2011-03-31,2010-12-31,bull,bull,0.8,5,rule_based_temporal_rag
2011-04-07,2011-01-07,bull,bull,1.0,5,rule_based_temporal_rag
2011-04-14,2011-01-14,bull,bull,1.0,5,rule_based_temporal_rag
2011-04-21,2011-01-24,bull,bull,1.0,5,rule_based_temporal_rag
2011-04-29,2011-01-31,bull,bull,0.8,5,rule_based_temporal_rag
2011-05-06,2011-02-07,bull,bull,1.0,5,rule_based_temporal_rag
2011-05-13,2011-02-14,bull,bull,0.8,5,rule_based_temporal_rag
2011-05-20,2011-02-22,bull,bull,1.0,5,rule_based_temporal_rag
2011-05-27,2011-03-01,bull,bull,1.0,5,rule_based_temporal_rag
2011-06-06,2011-03-08,bull,bull,0.8,5,rule_based_temporal_rag
2011-06-13,2011-03-15,bull,bull,1.0,5,rule_based_temporal_rag
2011-06-20,2011-03-22,bull,bull,1.0,5,rule_based_temporal_rag
2011-06-27,2011-03-29,bull,bull,1.0,5,rule_based_temporal_rag
2011-07-05,2011-04-05,bull,bull,1.0,5,rule_based_temporal_rag
2011-07-12,2011-04-12,bull,bull,1.0,5,rule_based_temporal_rag
2011-07-19,2011-04-19,bull,bull,1.0,5,rule_based_temporal_rag
2011-07-26,2011-04-27,bull,bull,1.0,5,rule_based_temporal_rag
2011-08-02,2011-05-04,bull,bull,1.0,5,rule_based_temporal_rag
2011-08-09,2011-05-11,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-08-16,2011-05-18,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-08-23,2011-05-25,high_vol,bull,0.6,5,rule_based_temporal_rag
2011-08-30,2011-06-02,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-09-07,2011-06-09,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-09-14,2011-06-16,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-09-21,2011-06-23,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-09-28,2011-06-30,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-10-05,2011-07-08,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-10-12,2011-07-15,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-10-19,2011-07-22,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-10-26,2011-07-29,bull,bull,1.0,5,rule_based_temporal_rag
2011-11-02,2011-08-05,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-11-09,2011-08-12,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-11-16,2011-08-19,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-11-23,2011-08-26,high_vol,bull,0.8,5,rule_based_temporal_rag
2011-12-01,2011-09-02,bull,bull,0.6,5,rule_based_temporal_rag
2011-12-08,2011-09-12,high_vol,bull,1.0,5,rule_based_temporal_rag
2011-12-15,2011-09-19,bull,bull,1.0,5,rule_based_temporal_rag
2011-12-22,2011-09-26,bull,bull,1.0,5,rule_based_temporal_rag
2011-12-30,2011-10-03,bull,bull,1.0,5,rule_based_temporal_rag
2012-01-09,2011-10-10,bull,bull,1.0,5,rule_based_temporal_rag
2012-01-17,2011-10-17,bull,bull,1.0,5,rule_based_temporal_rag
2012-01-24,2011-10-24,bull,bull,0.8,5,rule_based_temporal_rag
2012-01-31,2011-10-31,bull,bull,1.0,5,rule_based_temporal_rag
2012-02-07,2011-11-07,bull,bull,1.0,5,rule_based_temporal_rag
2012-02-14,2011-11-14,bull,bull,1.0,5,rule_based_temporal_rag
2012-02-22,2011-11-21,bull,bull,0.8,5,rule_based_temporal_rag
2012-02-29,2011-11-29,bull,bull,1.0,5,rule_based_temporal_rag
2012-03-07,2011-12-06,bull,bull,1.0,5,rule_based_temporal_rag
2012-03-14,2011-12-13,bull,bull,1.0,5,rule_based_temporal_rag
2012-03-21,2011-12-20,bull,bull,0.8,5,rule_based_temporal_rag
2012-03-28,2011-12-28,bull,bull,1.0,5,rule_based_temporal_rag
2012-04-04,2012-01-05,bull,bull,1.0,5,rule_based_temporal_rag
2012-04-12,2012-01-12,bull,bull,1.0,5,rule_based_temporal_rag
2012-04-19,2012-01-20,bull,bull,1.0,5,rule_based_temporal_rag
2012-04-26,2012-01-27,bull,bull,1.0,5,rule_based_temporal_rag
2012-05-03,2012-02-03,bull,bull,1.0,5,rule_based_temporal_rag
2012-05-10,2012-02-10,bull,bull,1.0,5,rule_based_temporal_rag
2012-05-17,2012-02-17,bull,bull,1.0,5,rule_based_temporal_rag
2012-05-24,2012-02-27,bull,bull,0.8,5,rule_based_temporal_rag
2012-06-01,2012-03-05,bull,bull,1.0,5,rule_based_temporal_rag
2012-06-08,2012-03-12,bull,bull,1.0,5,rule_based_temporal_rag
2012-06-15,2012-03-19,bull,bull,1.0,5,rule_based_temporal_rag
2012-06-22,2012-03-26,bull,bull,0.8,5,rule_based_temporal_rag
2012-06-29,2012-04-02,bull,bull,1.0,5,rule_based_temporal_rag
2012-07-09,2012-04-10,bull,bull,1.0,5,rule_based_temporal_rag
2012-07-16,2012-04-17,bull,bull,1.0,5,rule_based_temporal_rag
2012-07-23,2012-04-24,bull,bull,1.0,5,rule_based_temporal_rag
2012-07-30,2012-05-01,bull,bull,1.0,5,rule_based_temporal_rag
2012-08-06,2012-05-08,bull,bull,1.0,5,rule_based_temporal_rag
2012-08-13,2012-05-15,bull,bull,1.0,5,rule_based_temporal_rag
2012-08-20,2012-05-22,bull,bull,0.6,5,rule_based_temporal_rag
2012-08-27,2012-05-30,bull,bull,1.0,5,rule_based_temporal_rag
2012-09-04,2012-06-06,bull,bull,1.0,5,rule_based_temporal_rag
2012-09-11,2012-06-13,bull,bull,0.6,5,rule_based_temporal_rag
2012-09-18,2012-06-20,bull,bull,1.0,5,rule_based_temporal_rag
2012-09-25,2012-06-27,bull,bull,1.0,5,rule_based_temporal_rag
2012-10-02,2012-07-05,bull,bull,1.0,5,rule_based_temporal_rag
2012-10-09,2012-07-12,bull,bull,1.0,5,rule_based_temporal_rag
2012-10-16,2012-07-19,bull,bull,0.8,5,rule_based_temporal_rag
2012-10-23,2012-07-26,bull,bull,1.0,5,rule_based_temporal_rag
2012-11-01,2012-08-02,bull,bull,0.6,5,rule_based_temporal_rag
2012-11-08,2012-08-09,bull,bull,1.0,5,rule_based_temporal_rag
2012-11-15,2012-08-16,bull,bull,1.0,5,rule_based_temporal_rag
2012-11-23,2012-08-23,bull,bull,1.0,5,rule_based_temporal_rag
2012-11-30,2012-08-30,bull,bull,1.0,5,rule_based_temporal_rag
2012-12-07,2012-09-07,bull,bull,1.0,5,rule_based_temporal_rag
2012-12-14,2012-09-14,bull,bull,1.0,5,rule_based_temporal_rag
2012-12-21,2012-09-21,bull,bull,1.0,5,rule_based_temporal_rag
2012-12-31,2012-09-28,bull,bull,0.6,5,rule_based_temporal_rag
2013-01-08,2012-10-05,bull,bull,1.0,5,rule_based_temporal_rag
2013-01-15,2012-10-12,bull,bull,1.0,5,rule_based_temporal_rag
2013-01-23,2012-10-19,bull,bull,1.0,5,rule_based_temporal_rag
2013-01-30,2012-10-26,bull,bull,1.0,5,rule_based_temporal_rag
2013-02-06,2012-11-06,bull,bull,0.8,5,rule_based_temporal_rag
2013-02-13,2012-11-13,bull,bull,1.0,5,rule_based_temporal_rag
2013-02-21,2012-11-20,bull,bull,0.8,5,rule_based_temporal_rag
2013-02-28,2012-11-28,bull,bull,1.0,5,rule_based_temporal_rag
2013-03-07,2012-12-05,bull,bull,1.0,5,rule_based_temporal_rag
2013-03-14,2012-12-12,bull,bull,1.0,5,rule_based_temporal_rag
2013-03-21,2012-12-19,bull,bull,1.0,5,rule_based_temporal_rag
2013-03-28,2012-12-27,bull,bull,1.0,5,rule_based_temporal_rag
2013-04-05,2013-01-04,bull,bull,0.8,5,rule_based_temporal_rag
2013-04-12,2013-01-11,bull,bull,0.8,5,rule_based_temporal_rag
2013-04-19,2013-01-18,bull,bull,1.0,5,rule_based_temporal_rag
2013-04-26,2013-01-28,bull,bull,0.8,5,rule_based_temporal_rag
2013-05-03,2013-02-04,bull,bull,1.0,5,rule_based_temporal_rag
2013-05-10,2013-02-11,bull,bull,1.0,5,rule_based_temporal_rag
2013-05-17,2013-02-19,bull,bull,1.0,5,rule_based_temporal_rag
2013-05-24,2013-02-26,bull,bull,1.0,5,rule_based_temporal_rag
2013-06-03,2013-03-05,bull,bull,1.0,5,rule_based_temporal_rag
2013-06-10,2013-03-12,bull,bull,1.0,5,rule_based_temporal_rag
2013-06-17,2013-03-19,bull,bull,0.8,5,rule_based_temporal_rag
2013-06-24,2013-03-26,bull,bull,1.0,5,rule_based_temporal_rag
2013-07-01,2013-04-03,bull,bull,1.0,5,rule_based_temporal_rag
2013-07-09,2013-04-10,bull,bull,1.0,5,rule_based_temporal_rag
2013-07-16,2013-04-17,bull,bull,1.0,5,rule_based_temporal_rag
2013-07-23,2013-04-24,bull,bull,1.0,5,rule_based_temporal_rag
2013-07-30,2013-05-01,bull,bull,1.0,5,rule_based_temporal_rag
2013-08-06,2013-05-08,bull,bull,1.0,5,rule_based_temporal_rag
2013-08-13,2013-05-15,bull,bull,1.0,5,rule_based_temporal_rag
2013-08-20,2013-05-22,bull,bull,1.0,5,rule_based_temporal_rag
2013-08-27,2013-05-30,bull,bull,1.0,5,rule_based_temporal_rag
2013-09-04,2013-06-06,bull,bull,1.0,5,rule_based_temporal_rag
2013-09-11,2013-06-13,bull,bull,1.0,5,rule_based_temporal_rag
2013-09-18,2013-06-20,bull,bull,1.0,5,rule_based_temporal_rag
2013-09-25,2013-06-27,bull,bull,1.0,5,rule_based_temporal_rag
2013-10-02,2013-07-05,bull,bull,1.0,5,rule_based_temporal_rag
2013-10-09,2013-07-12,bull,bull,1.0,5,rule_based_temporal_rag
2013-10-16,2013-07-19,bull,bull,1.0,5,rule_based_temporal_rag
2013-10-23,2013-07-26,bull,bull,1.0,5,rule_based_temporal_rag
2013-10-30,2013-08-02,bull,bull,1.0,5,rule_based_temporal_rag
2013-11-06,2013-08-09,bull,bull,1.0,5,rule_based_temporal_rag
2013-11-13,2013-08-16,bull,bull,1.0,5,rule_based_temporal_rag
2013-11-20,2013-08-23,bull,bull,1.0,5,rule_based_temporal_rag
2013-11-27,2013-08-30,bull,bull,1.0,5,rule_based_temporal_rag
2013-12-05,2013-09-09,bull,bull,1.0,5,rule_based_temporal_rag
2013-12-12,2013-09-16,bull,bull,1.0,5,rule_based_temporal_rag
